candidate_id,rank,score,reasoning
CAND_0011687,1,0.8729,"Exceptional candidate with deep expertise in embeddings, weaviate from their work at Niramai spanning 7.8 years."
CAND_0064326,2,0.8696,Highly recommended: has a proven track record as a Search Engineer (7.6 yrs) and recently owned the ranking layer for an e-commerce search.
CAND_0079387,3,0.8693,"At Microsoft, this candidate built a content recommendation system serving 10m+ users; they represent a top-tier AI Engineer with 6.9 years of experience."
CAND_0076163,4,0.8651,"Excellent founding fit: offers 6.9 years of experience as a NLP Engineer, demonstrating strong skills in weaviate, elasticsearch; however, a notice period of 60 days."
CAND_0052682,5,0.8613,Top-tier candidate: an experienced NLP Engineer (6.6 yrs) who built a content recommendation system serving 10m+ users in their current role.
CAND_0018499,6,0.8604,"Exceptional fit: highly relevant background in embeddings, pinecone spanning 7.2 years, including their work to built a rag-based ranking pipeline serving 50m+ queries."
CAND_0037566,7,0.8556,"Outstanding Machine Learning Engineer with 6.9 years of experience, showing strong matching capabilities in nlp, pinecone."
CAND_0098846,8,0.8553,Outstanding match: this AI Engineer brings 7.6 years of experience and recently owned the ranking layer for an e-commerce search at upGrad.
CAND_0081846,9,0.8547,"Exceptional candidate with deep expertise in embeddings, vector search from their work at Razorpay spanning 6.7 years."
CAND_0027691,10,0.8524,Highly recommended: has a proven track record as a NLP Engineer (6.5 yrs) and recently built and operated production ml pipelines using mlflow for experiment tracking.
CAND_0052335,11,0.8518,"At Aganitha, this candidate owned the ranking layer for an e-commerce search; they represent a top-tier Applied ML Engineer with 6.4 years of experience, but a 60-day notice."
CAND_0008425,12,0.8516,"Excellent founding fit: offers 7.8 years of experience as a Senior NLP Engineer, demonstrating strong skills in nlp; note: a notice period of 90 days."
CAND_0027801,13,0.8511,"Top-tier candidate: an experienced NLP Engineer (7.4 yrs) who built and operated production ml pipelines using mlflow for experiment tracking in their current role, despite a 120-day notice period."
CAND_0009691,14,0.8507,"Exceptional fit: highly relevant background in pinecone, faiss spanning 6.2 years, including their work to built a content recommendation system serving 10m+ users; however, their 120-day notice and consulting background."
CAND_0044883,15,0.8484,"Outstanding AI Engineer with 6.3 years of experience, showing strong matching capabilities in embeddings, pytorch, though a 90-day notice."
CAND_0028793,16,0.8476,"Strong candidate: a Search Engineer with 7.2 years of experience, who developed a semantic search feature for an internal at Google, but a notice period of 120 days."
CAND_0069905,17,0.8458,Well-qualified candidate showing solid background in weaviate from their work at Sarvam AI (6.6 yrs); note: a 90-day notice period.
CAND_0016163,18,0.8431,"Solid fit: features a strong track record as a Applied ML Engineer (6.7 yrs), having recently built and operated production ml pipelines using mlflow for experiment tracking, despite their 120-day notice."
CAND_0083307,19,0.8422,"At CRED, this candidate implemented a rag-based customer support chatbot integrated; they represent a well-suited Search Engineer with 7.8 years of experience; however, a 120-day notice."
CAND_0068811,20,0.8409,"Strong fit: offers 8.0 years of experience as a Applied ML Engineer, demonstrating relevant skills in embeddings, vector search."
CAND_0032216,21,0.8378,Well-suited profile: an experienced ML Engineer (6.1 yrs) who worked on time-series forecasting models for supply-chain demand in their current role.
CAND_0091909,22,0.8344,"Highly relevant background: background in pinecone spanning 6.9 years, including their work to built a content recommendation system serving 10m+ users."
CAND_0050454,23,0.8342,"Well-qualified AI Engineer with 6.8 years of experience, showing matching capabilities in nlp, faiss."
CAND_0045250,24,0.8329,"Strong candidate: a Applied ML Engineer with 6.6 years of experience, who trained and shipped multiple ranking models at Rephrase.ai."
CAND_0099443,25,0.8304,"Well-qualified candidate showing solid background in faiss from their work at InMobi (6.0 yrs), though a 60-day notice period and service-firm history."
CAND_0060054,26,0.8271,"Solid fit: features a strong track record as a AI Engineer (6.4 yrs), having recently developed a semantic search feature for an internal."
CAND_0010685,27,0.8258,"At Rephrase.ai, this candidate owned the ranking layer for an e-commerce search; they represent a well-suited NLP Engineer with 6.7 years of experience."
CAND_0072660,28,0.8236,"Strong fit: offers 7.1 years of experience as a Machine Learning Engineer, demonstrating relevant skills in nlp, elasticsearch."
CAND_0044248,29,0.8231,"Well-suited profile: an experienced Junior ML Engineer (6.9 yrs) who worked on customer-facing predictive modeling for an e-commerce in their current role; however, a 120-day notice period."
CAND_0051630,30,0.8227,"Highly relevant background: background in nlp, embeddings spanning 6.0 years, including their work to owned the ranking layer for an e-commerce search, though their 90-day notice."
CAND_0030946,31,0.8224,"Well-qualified Junior ML Engineer with 6.7 years of experience, showing matching capabilities in embeddings, elasticsearch, but a 60-day notice and services background."
CAND_0004972,32,0.8218,"Strong candidate: a ML Engineer with 6.0 years of experience, who built nlp pipelines for sentiment analysis and document at Glance; note: a notice period of 90 days."
CAND_0089552,33,0.8218,"Well-qualified candidate showing solid background in vector search, weaviate from their work at Netflix (6.0 yrs), despite a 120-day notice period."
CAND_0083879,34,0.8209,"Solid fit: features a strong track record as a Machine Learning Engineer (7.1 yrs), having recently built and operated production ml pipelines using mlflow for experiment tracking."
CAND_0049896,35,0.8191,"At Unacademy, this candidate implemented a rag-based customer support chatbot integrated; they represent a well-suited Search Engineer with 7.3 years of experience, though a 90-day notice."
CAND_0002025,36,0.8168,"Strong fit: offers 5.9 years of experience as a Senior AI Engineer, demonstrating relevant skills in nlp, pinecone."
